Requirement_ID,Requirement_Text,Relevant_Transition_ActionId_Concrete,Relevant_Transition_ActionId_Abstract,Transition_Notes,Relevant_Widget_AbstractID,Relevant_Widget_ConcreteID,Relevant_Widget_Selector,Relevant_Widget_Text,Relevant_Widget_Tag,Relevant_Widget_Href,Widget_Notes,Relevance_Type
RQ4,"Given I am logged in and I am on a product page, when I press on ""favorites"", then the product will be added to my favorites.",,,NON-COVERED RQ,WAt7bm21261186730378,WC1ci9cvr2dc1192607208,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ4,"Given I am logged in and I am on a product page, when I press on ""favorites"", then the product will be added to my favorites.",,,,WAt7bm21261186730378,WCa0a8wr2dc2991823280,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ4,"Given I am logged in and I am on a product page, when I press on ""favorites"", then the product will be added to my favorites.",,,,WAt7bm21261186730378,WCy4byow2dc1154774556,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ4,"Given I am logged in and I am on a product page, when I press on ""favorites"", then the product will be added to my favorites.",,,,WAt7bm21261186730378,WC1g4d0sj2dc1519606425,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ4,"Given I am logged in and I am on a product page, when I press on ""favorites"", then the product will be added to my favorites.",,,,WAt7bm21261186730378,WCjl82sf2dc9844006,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ4,"Given I am logged in and I am on a product page, when I press on ""favorites"", then the product will be added to my favorites.",,,,WAt7bm21261186730378,WC1ungwp02dc708356094,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ5,"Given I am not logged in and I am on a product page, when I press on ""add to favorites"", then I receive an error stating ""Unauthorized, can not add product to your favorite list."".",AC1ww9mm55a3349650413,WAt7bm21261186730378,,WAt7bm21261186730378,WC1ci9cvr2dc1192607208,#btn-add-to-favorites,Add to favourites,button,,,Linked
RQ5,"Given I am not logged in and I am on a product page, when I press on ""add to favorites"", then I receive an error stating ""Unauthorized, can not add product to your favorite list."".",AC10y3vcm5b3783893185,WAt7bm21261186730378,,WAt7bm21261186730378,WCa0a8wr2dc2991823280,#btn-add-to-favorites,Add to favourites,button,,,Linked
RQ5,"Given I am not logged in and I am on a product page, when I press on ""add to favorites"", then I receive an error stating ""Unauthorized, can not add product to your favorite list."".",,,,WAt7bm21261186730378,WCy4byow2dc1154774556,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ5,"Given I am not logged in and I am on a product page, when I press on ""add to favorites"", then I receive an error stating ""Unauthorized, can not add product to your favorite list."".",,,,WAt7bm21261186730378,WC1g4d0sj2dc1519606425,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ5,"Given I am not logged in and I am on a product page, when I press on ""add to favorites"", then I receive an error stating ""Unauthorized, can not add product to your favorite list."".",,,,WAt7bm21261186730378,WCjl82sf2dc9844006,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ5,"Given I am not logged in and I am on a product page, when I press on ""add to favorites"", then I receive an error stating ""Unauthorized, can not add product to your favorite list."".",,,,WAt7bm21261186730378,WC1ungwp02dc708356094,#btn-add-to-favorites,Add to favourites,button,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",AC18u35we761303356188 ,WAvis79x1134313057,,WAvis79x1134313057,WC4qawad2932667514462,.form-select,,select,,,Linked
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",AC1g31nlp73741603230,WAvis79x1134313057,,WAvis79x1134313057,WCh51rr293502424761,.form-select,,select,,,Linked
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",ACvas2b1753255194551,WAvis79x1134313057,,WAvis79x1134313057,WCh51rr293502424761,.form-select,,select,,,Linked
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WCyqu7jw2932019932902,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WCawcizj29329671502,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WCzh0lb82934035682696,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WCh4520y2932064315577,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WC16mqhb42922010743169,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WC1xsdkps2931085995998,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WCd99qou2921176194336,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WAvis79x1134313057,WC1ahlsn82933519565232,.form-select,,select,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WA91nokya1596131791,WCi87fgy29f3175556091,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Name (A - Z),option,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WA91nokya1596131791,WC1ur5jf529f1865550419,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Name (A - Z),option,,,Functional
RQ6,"Given I am viewing a list of products, when I select the alphabetical sorting option, then the products are ordered from A to Z.",,,,WA91nokya1596131791,WCbsh6pm29f2168933766,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Naam (A - Z),option,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",AC1p56sbb763752431496 ,WA1m3a8it193372485225,,WA1m3a8it193372485225,WCarv0x329b146958579,.form-select,,select,,,Linked
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WA1m3a8it193372485225,WCzmn64l29b20059030,.form-select,,select,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WAcjhdnwb3504379125,WCuvoeyx2ac1407617521,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Price (Low - High),option,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WAcjhdnwb3504379125,WC6vug8a2ac1274574034,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Price (Low - High),option,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WAcjhdnwb3504379125,WC976pc12ae3154433354,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Prijs (Laag - Hoog),option,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WAxmg4qec2919826633,WCwfcw9i2ad2478749624,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(4),Price (High - Low),option,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WAxmg4qec2919826633,WC1xwsl1x2ad834787383,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(4),Price (High - Low),option,,,Functional
RQ7,"Given I am viewing a list of products, when I select the price sorting option, then the products are ordered sequentially by cost.",,,,WAxmg4qec2919826633,WC1v0e0v62af3308194777,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(4),Prijs (Hoog - Laag),option,,,Functional
RQ8,"Given I am viewing a list of products, when I select the sustainability sorting option, then the products are ordered based on how sustainably they are made.",,,,WA1n6900t10601956989,WC1dkvhn72b91773289060,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂-Waardering (A - E),option,,,Functional
RQ8,"Given I am viewing a list of products, when I select the sustainability sorting option, then the products are ordered based on how sustainably they are made.",,,,WA1n6900t10601956989,WC1m2jfru2b12235644166,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂ Rating (A - E),option,,,Functional
RQ8,"Given I am viewing a list of products, when I select the sustainability sorting option, then the products are ordered based on how sustainably they are made.",,,,WA1n6900t10601956989,WC19x7h7f2b13817845899,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂ Rating (A - E),option,,,Functional
RQ8,"Given I am viewing a list of products, when I select the sustainability sorting option, then the products are ordered based on how sustainably they are made.",,,,WA1mlzacl111301876333,WC1o0y44w2ba1042875133,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(7),CO₂-Waardering (E - A),option,,,Functional
RQ8,"Given I am viewing a list of products, when I select the sustainability sorting option, then the products are ordered based on how sustainably they are made.",,,,WA1mlzacl111301876333,WCq1l6so2b24170932814,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(7),CO₂ Rating (E - A),option,,,Functional
RQ8,"Given I am viewing a list of products, when I select the sustainability sorting option, then the products are ordered based on how sustainably they are made.",,,,WA1mlzacl111301876333,WC1bhboi12b21811174238,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(7),CO₂ Rating (E - A),option,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",ACpbx4ol644064419510,WA1n4dlr022756036597,,WA1n4dlr022756036597,WC1076bdi2c41951515609,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Linked
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",AC6h2hzm602490731808,WA1n4dlr022756036597,,WA1n4dlr022756036597,WC11zp51a2c0985324568,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Linked
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",AC119jpsn621882676563,WA1n4dlr022756036597,,WA1n4dlr022756036597,WC11zp51a2c0985324568,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Linked
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",ACv00lhy752430216,WA1n4dlr022756036597,,WA1n4dlr022756036597,WC1dthbxy2c42129708340,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Linked
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr022756036597,WC1464a6c2c44177446180,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr022756036597,WCi8ns3l2c42051314824,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr022756036597,WC1feo0gs2c4960730240,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr022756036597,WC1svw3i22c44157016146,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr022756036597,WCsl7yxr2c42858871521,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr022756036597,WC1724jfo2c02691846695,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1P'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",AC7zzudo641763776391,WA1n4dlr1221511457635,,WA1n4dlr1221511457635,WCgz7kh12c11474972977,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Linked
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",ACyfnmp1623758328653,WA1n4dlr1221511457635,,WA1n4dlr1221511457635,WCgz7kh12c11474972977,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Linked
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WChwkan62c41413037820,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WCbbfsjh2c42818374378,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WCd97aqr2c42706482401,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WC1vcso7z2c415666387,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WC1x2tnml2c43963876280,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WCqqfds12c44098379528,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WCm0kogo2c32324308841,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ9,"Given I am viewing a product catalog, when I select a specific brand from the filters, then only products manufactured by that brand are displayed.",,,,WA1n4dlr1221511457635,WCm1myvf2c13009663627,[data-test='brand-01KKVSEJFRD3GYPYC1M5VQ6F1Q'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",AChbdhue4b1565972662  ,WAhs7kya4060406350,,WAhs7kya4060406350,WClmvsf42b44185464305,[name='eco_friendly'],,input,,,Linked
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",AChh1ni4c1541389823,WAhs7kya4060406350,,WAhs7kya4060406350,WC42r7c52b44196435005,[name='eco_friendly'],,input,,,Linked
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC1am6ga42b42221507953,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC754n12b4224705708,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC1y4hmp62b42678828391,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC17jbabs2b41453906605,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WCpiqu8b2b43260120044,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC1bto6f92b4298784260,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WCjn39pf2b41996912567,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC175eg4h2b41824808865,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC1r4ofli2b31465850669,[name='eco_friendly'],,input,,,Functional
RQ10,"Given I am viewing a product catalog, when I apply the sustainability filter, then only products verified as eco-friendly are displayed.",,,,WAhs7kya4060406350,WC100g6km2b4709687105,[name='eco_friendly'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",ACnz8pts74447143344,WA2gdl29223537376037,,WA2gdl29223537376037,WC1pa7jt12d3398532685,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1S'],,input,,,Linked
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl29223537376037,WC1fl35gp2d33263205477,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1S'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl29223537376037,WCm7qkj32d33592081118,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1S'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl29223537376037,WCcwh2022d34082889236,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1S'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl29223537376037,WC13h38n72d3543861058,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1S'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl29223537376037,WC1berk912d3169612871,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1S'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",AC1vh6ta7633042252338,WA2gdl28222782864307,,WA2gdl28222782864307,WC1ep329z2d3522179941,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1R'],,input,,,Linked
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl28222782864307,WC1bo4nyd2d33457879048,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1R'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl28222782864307,WClbqhcd2d3193301470,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1R'],,input,,,Functional
RQ11,"Given I am navigating the product catalog, when I select a specific product category filter, then only items belonging to that category are shown.",,,,WA2gdl28222782864307,WCc0gytc2d31984746094,[data-test='category-01KKVP0P090S7MRX6KYWPW7V1R'],,input,,,Functional
