method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,backward_result_file,average_scope,direction,result_file,evaluation,k,query_unit,queries_total,queries_with_gold,queries_without_gold,candidate_queries_total,candidate_queries_with_gold,candidate_queries_without_gold,requirements_total,requirements_with_gold,gold_links_total,gold_candidates_total,hits_total,hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,1,gui_candidate,154,148,6,154,148,6,154,148,204,204,23,0.1554054054054054,0.1554054054054054,0.13513513513513514,0.14189189189189189,0.1554054054054054,0.1554054054054054
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,3,gui_candidate,332,192,140,332,192,140,332,192,267,267,88,0.390625,0.15277777777777776,0.3767361111111111,0.20920138888888887,0.2800925925925926,0.2838541666666667
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,3,gui_candidate,352,229,123,352,229,123,352,229,310,310,101,0.38427947598253276,0.1470160116448326,0.3726346433770014,0.20378457059679767,0.27704997573993206,0.2802037845705968
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,3,gui_candidate,198,81,117,198,81,117,198,81,106,106,48,0.5061728395061729,0.19753086419753085,0.4732510288065844,0.2637860082304527,0.3635116598079561,0.3724279835390947
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,3,gui_candidate,197,69,128,197,69,128,197,69,83,83,32,0.42028985507246375,0.15458937198067632,0.41304347826086957,0.21690821256038648,0.32367149758454106,0.32367149758454106
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,3,gui_candidate,178,44,134,178,44,134,178,44,63,63,35,0.6363636363636364,0.26515151515151514,0.5757575757575757,0.3378787878787879,0.4494949494949495,0.4659090909090909
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,5,gui_candidate,154,148,6,154,148,6,154,148,204,204,59,0.3581081081081081,0.07972972972972973,0.32432432432432434,0.1228793728793729,0.23135135135135138,0.23783783783783785
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,5,gui_candidate,101,15,86,101,15,86,101,15,44,44,4,0.26666666666666666,0.05333333333333334,0.04444444444444444,0.04848484848484848,0.010666666666666666,0.05333333333333334
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,5,gui_candidate,146,135,11,146,135,11,146,135,169,169,55,0.362962962962963,0.08148148148148149,0.3506172839506173,0.12932499599166267,0.2524444444444444,0.2548148148148148
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,5,gui_candidate,332,192,140,332,192,140,332,192,267,267,101,0.421875,0.10520833333333333,0.3923611111111111,0.15639655483405485,0.2848148148148148,0.29010416666666666
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,5,gui_candidate,352,229,123,352,229,123,352,229,310,310,114,0.4104803493449782,0.09956331877729258,0.38573508005822416,0.15005009546494263,0.2810092188258127,0.28544395924308585
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,5,gui_candidate,198,81,117,198,81,117,198,81,106,106,55,0.5061728395061729,0.13580246913580246,0.49794238683127573,0.19969536636203306,0.3717421124828532,0.3724279835390947
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,5,gui_candidate,197,69,128,197,69,128,197,69,83,83,35,0.43478260869565216,0.10144927536231885,0.4323671497584541,0.15672250454859152,0.3272946859903382,0.3272946859903382
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,5,gui_candidate,178,44,134,178,44,134,178,44,63,63,42,0.6363636363636364,0.19090909090909092,0.6212121212121212,0.2691361668634396,0.4646464646464646,0.4659090909090909
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,10,gui_candidate,154,148,6,154,148,6,154,148,204,204,102,0.44594594594594594,0.06891891891891892,0.44594594594594594,0.11025798525798525,0.25760403260403264,0.24802659802659804
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,10,gui_candidate,101,15,86,101,15,86,101,15,44,44,24,0.26666666666666666,0.16,0.26666666666666666,0.19999999999999998,0.116331569664903,0.05333333333333334
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,10,gui_candidate,146,135,11,146,135,11,146,135,169,169,78,0.45925925925925926,0.05777777777777778,0.45925925925925926,0.09865319865319866,0.2694846168920243,0.26598471487360376
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,10,gui_candidate,332,192,140,332,192,140,332,192,267,267,148,0.4947916666666667,0.07708333333333334,0.4947916666666667,0.12377379564879565,0.3065703538359788,0.29860904431216934
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,10,gui_candidate,352,229,123,352,229,123,352,229,310,310,161,0.47161572052401746,0.0703056768558952,0.47161572052401746,0.1140969656253499,0.299249670756221,0.292574686351979
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,10,gui_candidate,198,81,117,198,81,117,198,81,106,106,59,0.5185185185185185,0.0728395061728395,0.5185185185185185,0.12111139888917666,0.3753429355281207,0.3739711934156379
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,10,gui_candidate,197,69,128,197,69,128,197,69,83,83,37,0.4492753623188406,0.053623188405797106,0.4492753623188406,0.09211682037768995,0.32971014492753625,0.32971014492753625
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,10,gui_candidate,178,44,134,178,44,134,178,44,63,63,46,0.6590909090909091,0.10454545454545455,0.6590909090909091,0.16923606696333968,0.47127525252525254,0.46875
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,1,gui_candidate,255,204,51,255,204,51,255,204,272,272,37,0.18137254901960784,0.18137254901960784,0.15441176470588236,0.1610644257703081,0.18137254901960784,0.18137254901960784
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,1,gui_candidate,151,5,146,151,5,146,151,5,20,20,1,0.2,0.2,0.03333333333333333,0.05714285714285714,0.2,0.2
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_with_linked_widget,1,gui_candidate,255,201,54,255,201,54,255,201,259,259,36,0.1791044776119403,0.1791044776119403,0.15588723051409617,0.162046908315565,0.1791044776119403,0.1791044776119403
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_linked_widgets,1,gui_candidate,559,271,288,559,271,288,559,271,357,357,53,0.19557195571955718,0.19557195571955718,0.17220172201722017,0.17764891934633634,0.19557195571955718,0.19557195571955718
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_widgets,1,gui_candidate,609,337,272,609,337,272,609,337,429,429,60,0.17804154302670624,0.17804154302670624,0.1562809099901088,0.16165041684329517,0.17804154302670624,0.17804154302670624
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_all_resolved,1,gui_candidate,354,133,221,354,133,221,354,133,157,157,23,0.17293233082706766,0.17293233082706766,0.15914786967418548,0.16254923021840317,0.17293233082706766,0.17293233082706766
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_functional_resolved,1,gui_candidate,352,128,224,352,128,224,352,128,150,150,22,0.171875,0.171875,0.16145833333333334,0.1636904761904762,0.171875,0.171875
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_linked_resolved,1,gui_candidate,304,67,237,304,67,237,304,67,85,85,16,0.23880597014925373,0.23880597014925373,0.2263681592039801,0.2281449893390192,0.23880597014925373,0.23880597014925373
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,3,gui_candidate,255,204,51,255,204,51,255,204,272,272,77,0.31862745098039214,0.12581699346405228,0.29901960784313725,0.16650326797385623,0.244281045751634,0.24754901960784315
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,3,gui_candidate,151,5,146,151,5,146,151,5,20,20,5,0.6,0.3333333333333333,0.33333333333333337,0.2777777777777778,0.32222222222222224,0.36666666666666664
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_with_linked_widget,3,gui_candidate,255,201,54,255,201,54,255,201,259,259,72,0.30845771144278605,0.11940298507462686,0.29519071310116085,0.1620784964068546,0.23991155334438916,0.24212271973466
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_linked_widgets,3,gui_candidate,559,271,288,559,271,288,559,271,357,357,108,0.33948339483394835,0.13284132841328414,0.3167281672816728,0.17593275932759328,0.25973759737597374,0.26383763837638374
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_widgets,3,gui_candidate,609,337,272,609,337,272,609,337,429,429,121,0.3056379821958457,0.11968348170128584,0.2873392680514342,0.15957797560171447,0.23557533794922517,0.23887240356083086
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_all_resolved,3,gui_candidate,354,133,221,354,133,221,354,133,157,157,44,0.2857142857142857,0.11027568922305764,0.2694235588972431,0.14895572263993315,0.22222222222222224,0.22556390977443608
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_functional_resolved,3,gui_candidate,352,128,224,352,128,224,352,128,150,150,41,0.28125,0.10677083333333333,0.2682291666666667,0.14539930555555555,0.22178819444444445,0.22395833333333334
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_linked_resolved,3,gui_candidate,304,67,237,304,67,237,304,67,85,85,31,0.40298507462686567,0.15422885572139303,0.3706467661691542,0.2046434494195688,0.30679933665008297,0.31343283582089554
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,5,gui_candidate,255,204,51,255,204,51,255,204,272,272,89,0.31862745098039214,0.08725490196078432,0.3088235294117647,0.12479840421016893,0.2468627450980392,0.24754901960784315
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,5,gui_candidate,151,5,146,151,5,146,151,5,20,20,9,0.6,0.36,0.4666666666666667,0.35757575757575755,0.35733333333333334,0.36666666666666664
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_with_linked_widget,5,gui_candidate,255,201,54,255,201,54,255,201,259,259,80,0.30845771144278605,0.07960199004975124,0.3018242122719735,0.1177661476168939,0.24165837479270313,0.24212271973466
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_linked_widgets,5,gui_candidate,559,271,288,559,271,288,559,271,357,357,125,0.33948339483394835,0.09225092250922509,0.3284132841328413,0.13231418028466,0.26317343173431734,0.26383763837638374
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_widgets,5,gui_candidate,609,337,272,609,337,272,609,337,429,429,138,0.3056379821958457,0.08189910979228487,0.29673590504451036,0.11869436201780417,0.23833827893175072,0.23887240356083086
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_all_resolved,5,gui_candidate,354,133,221,354,133,221,354,133,157,157,49,0.2857142857142857,0.0736842105263158,0.2781954887218045,0.10933177098590632,0.22526315789473686,0.22556390977443608
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_functional_resolved,5,gui_candidate,352,128,224,352,128,224,352,128,150,150,45,0.28125,0.0703125,0.2734375,0.10467397186147187,0.22299479166666666,0.22395833333333334
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_linked_resolved,5,gui_candidate,304,67,237,304,67,237,304,67,85,85,36,0.40298507462686567,0.10746268656716418,0.3880597014925373,0.15519803579505073,0.3128358208955224,0.31343283582089554
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,10,gui_candidate,255,204,51,255,204,51,255,204,272,272,105,0.3382352941176471,0.051470588235294115,0.3382352941176471,0.08266488413547236,0.2541841736694678,0.2503501400560224
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,10,gui_candidate,151,5,146,151,5,146,151,5,20,20,13,0.6,0.26,0.6,0.3363636363636363,0.41880952380952385,0.36666666666666664
