method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,sheet,ground_truth_file,model_path,row,requirement_id,warning,widget_concrete_id,widget_selector
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,328,RQ13,row_fallback,WC12dqtoe29b3442285685,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,329,RQ13,row_fallback,WC2qq5mz2aa3012794051,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,330,RQ13,row_fallback,WCvphpd52aa1861212992,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,331,RQ13,row_fallback,WCcgi21c2aa3730217230,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,332,RQ13,row_fallback,WC2wgpkf29a143166916,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,458,RQ20,row_fallback,WCa4h26h2dd4213718455,#street
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,459,RQ20,row_fallback,WCxdt5on2e02484269776,#country
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,460,RQ20,row_fallback,WC1lmyqxq2d52182702333,#state
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,461,RQ20,row_fallback,WC1s4wihc2d71405590118,#city
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,541,RQ28,row_fallback,WC19pkmqv2a4214216018,.btnSubmit
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,303,RQ20,row_fallback,WCvf1io22f02919492708,#postal_code
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,304,RQ20,row_fallback,WCyzj83t2f22021470998,#postal_code
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,305,RQ20,row_fallback,WCz8iu1c2e94068462391,#postal_code
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,306,RQ20,row_fallback,WC1pj53dg2f04154546803,#street
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,307,RQ20,row_fallback,WC56elu92f02397698935,#street
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,308,RQ20,row_fallback,WCefhbdi2f73174890271,#street
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,309,RQ20,row_fallback,WC96spgm2dd465415628,#street
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,310,RQ20,row_fallback,WC1mv63242e01116587128,#city
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,311,RQ20,row_fallback,WC1r9q7h2d73550871670,#city
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,312,RQ20,row_fallback,WCbqdv092e73822343507,#city
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,313,RQ20,row_fallback,WCge0p242e21252223990,#city
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,314,RQ20,row_fallback,WC12ks3gb2d52989051527,#state
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,315,RQ20,row_fallback,WC166tlt72dc2445661695,#state
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,316,RQ20,row_fallback,WC1fr5sdl2db266441246,#state
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,317,RQ20,row_fallback,WC1vmk3gd2e23088322329,#state
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,318,RQ20,row_fallback,WC1lhog5g2e01033017424,#country
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,319,RQ20,row_fallback,WC1r7w3282ec25941021,#country
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,320,RQ20,row_fallback,WCi2kgnu2e52886193613,#country
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,323,RQ20,row_fallback,WC832eo42e33008463797,#house_number
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Ground truth LLM_GPT5,Ground Truth\Ground truth LLM_GPT5.csv,New filtered models\filtered_model_GPT5_Llmreq.json,324,RQ20,row_fallback,WCq426ns2ec3881900185,#house_number
