method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,backward_result_file,average_scope,direction,result_file,evaluation,k,query_unit,queries_total,queries_with_gold,queries_without_gold,candidate_queries_total,candidate_queries_with_gold,candidate_queries_without_gold,requirements_total,requirements_with_gold,gold_links_total,gold_candidates_total,hits_total,hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,1,gui_candidate,154,148,6,154,148,6,154,148,204,204,23,0.14935064935064934,0.14935064935064934,0.12987012987012986,0.13636363636363635,0.14935064935064934,0.14935064935064934
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,3,gui_candidate,332,192,140,332,192,140,332,192,267,267,88,0.22590361445783133,0.08835341365461848,0.2178714859437751,0.12098393574297188,0.16198125836680055,0.16415662650602408
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,3,gui_candidate,352,229,123,352,229,123,352,229,310,310,101,0.25,0.09564393939393939,0.2424242424242424,0.13257575757575757,0.18023989898989898,0.18229166666666669
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,3,gui_candidate,198,81,117,198,81,117,198,81,106,106,48,0.20707070707070707,0.08080808080808081,0.1936026936026936,0.10791245791245792,0.14870931537598203,0.15235690235690236
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,3,gui_candidate,197,69,128,197,69,128,197,69,83,83,32,0.14720812182741116,0.05414551607445008,0.1446700507614213,0.07597292724196278,0.11336717428087986,0.11336717428087986
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,3,gui_candidate,178,44,134,178,44,134,178,44,63,63,35,0.15730337078651685,0.06554307116104868,0.14232209737827714,0.08352059925093633,0.11111111111111112,0.1151685393258427
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,5,gui_candidate,154,148,6,154,148,6,154,148,204,204,59,0.34415584415584416,0.07662337662337662,0.3116883116883117,0.11809186484511161,0.22233766233766236,0.2285714285714286
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,5,gui_candidate,101,15,86,101,15,86,101,15,44,44,4,0.039603960396039604,0.007920792079207921,0.0066006600660066,0.0072007200720071995,0.0015841584158415843,0.007920792079207921
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,5,gui_candidate,146,135,11,146,135,11,146,135,169,169,55,0.3356164383561644,0.07534246575342465,0.32420091324200917,0.11958133191009905,0.23342465753424657,0.2356164383561644
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,5,gui_candidate,332,192,140,332,192,140,332,192,267,267,101,0.24397590361445784,0.0608433734939759,0.22690763052208834,0.09044620038595944,0.16471218206157964,0.1677710843373494
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,5,gui_candidate,352,229,123,352,229,123,352,229,310,310,114,0.26704545454545453,0.06477272727272727,0.25094696969696967,0.09761781778827233,0.18281565656565657,0.18570075757575755
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,5,gui_candidate,198,81,117,198,81,117,198,81,106,106,55,0.20707070707070707,0.05555555555555555,0.20370370370370372,0.08169355896628624,0.1520763187429854,0.15235690235690236
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,5,gui_candidate,197,69,128,197,69,128,197,69,83,83,35,0.15228426395939088,0.03553299492385787,0.15143824027072758,0.05489265387742546,0.11463620981387478,0.11463620981387478
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,5,gui_candidate,178,44,134,178,44,134,178,44,63,63,42,0.15730337078651685,0.04719101123595506,0.15355805243445692,0.06652804124714239,0.11485642946317103,0.1151685393258427
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,10,gui_candidate,154,148,6,154,148,6,154,148,204,204,102,0.42857142857142855,0.06623376623376624,0.42857142857142855,0.10596221959858322,0.24756751185322615,0.2383632240775098
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,10,gui_candidate,101,15,86,101,15,86,101,15,44,44,24,0.039603960396039604,0.023762376237623763,0.039603960396039604,0.029702970297029698,0.017276965791817277,0.007920792079207921
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,10,gui_candidate,146,135,11,146,135,11,146,135,169,169,78,0.4246575342465753,0.05342465753424658,0.4246575342465753,0.09122042341220424,0.24918098137276218,0.24594477060230482
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,10,gui_candidate,332,192,140,332,192,140,332,192,267,267,148,0.286144578313253,0.04457831325301205,0.286144578313253,0.07158002639930351,0.17729369860393956,0.17268956779498948
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,10,gui_candidate,352,229,123,352,229,123,352,229,310,310,161,0.3068181818181818,0.04573863636363637,0.3068181818181818,0.07422785547785547,0.19468231421356422,0.19033978174603175
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,10,gui_candidate,198,81,117,198,81,117,198,81,106,106,59,0.21212121212121213,0.0297979797979798,0.21212121212121213,0.049545572272845,0.1535493827160494,0.1529882154882155
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,10,gui_candidate,197,69,128,197,69,128,197,69,83,83,37,0.15736040609137056,0.018781725888324875,0.15736040609137056,0.03226426703584064,0.11548223350253807,0.11548223350253807
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,10,gui_candidate,178,44,134,178,44,134,178,44,63,63,46,0.16292134831460675,0.025842696629213485,0.16292134831460675,0.041833634530263744,0.11649500624219725,0.11587078651685394
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,1,gui_candidate,255,204,51,255,204,51,255,204,272,272,37,0.1450980392156863,0.1450980392156863,0.12352941176470589,0.12885154061624648,0.1450980392156863,0.1450980392156863
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,1,gui_candidate,151,5,146,151,5,146,151,5,20,20,1,0.006622516556291391,0.006622516556291391,0.0011037527593818985,0.001892147587511826,0.006622516556291391,0.006622516556291391
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_with_linked_widget,1,gui_candidate,255,201,54,255,201,54,255,201,259,259,36,0.1411764705882353,0.1411764705882353,0.12287581699346405,0.12773109243697478,0.1411764705882353,0.1411764705882353
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_linked_widgets,1,gui_candidate,559,271,288,559,271,288,559,271,357,357,53,0.09481216457960644,0.09481216457960644,0.08348240906380441,0.08612317914643497,0.09481216457960644,0.09481216457960644
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_widgets,1,gui_candidate,609,337,272,609,337,272,609,337,429,429,60,0.09852216748768473,0.09852216748768473,0.08648056923918993,0.08945187270310423,0.09852216748768473,0.09852216748768473
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_all_resolved,1,gui_candidate,354,133,221,354,133,221,354,133,157,157,23,0.06497175141242938,0.06497175141242938,0.05979284369114878,0.06107075598601023,0.06497175141242938,0.06497175141242938
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_functional_resolved,1,gui_candidate,352,128,224,352,128,224,352,128,150,150,22,0.0625,0.0625,0.058712121212121215,0.05952380952380953,0.0625,0.0625
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_linked_resolved,1,gui_candidate,304,67,237,304,67,237,304,67,85,85,16,0.05263157894736842,0.05263157894736842,0.04989035087719298,0.050281954887218046,0.05263157894736842,0.05263157894736842
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,3,gui_candidate,255,204,51,255,204,51,255,204,272,272,77,0.2549019607843137,0.10065359477124182,0.23921568627450981,0.13320261437908498,0.1954248366013072,0.1980392156862745
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,3,gui_candidate,151,5,146,151,5,146,151,5,20,20,5,0.019867549668874173,0.011037527593818984,0.011037527593818985,0.00919793966151582,0.010669610007358351,0.012141280353200883
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_with_linked_widget,3,gui_candidate,255,201,54,255,201,54,255,201,259,259,72,0.24313725490196078,0.09411764705882353,0.2326797385620915,0.12775599128540305,0.18910675381263617,0.19084967320261437
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_linked_widgets,3,gui_candidate,559,271,288,559,271,288,559,271,357,357,108,0.16457960644007155,0.06440071556350627,0.15354800238521168,0.08529119459352018,0.125919300337905,0.12790697674418605
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_widgets,3,gui_candidate,609,337,272,609,337,272,609,337,429,429,121,0.16912972085385877,0.0662287903667214,0.1590038314176245,0.0883050538222952,0.13035942346287174,0.13218390804597702
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_all_resolved,3,gui_candidate,354,133,221,354,133,221,354,133,157,157,44,0.10734463276836158,0.041431261770244816,0.1012241054613936,0.05596359070935342,0.08349026993094791,0.0847457627118644
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_functional_resolved,3,gui_candidate,352,128,224,352,128,224,352,128,150,150,41,0.10227272727272728,0.038825757575757576,0.0975378787878788,0.052872474747474744,0.08065025252525253,0.08143939393939394
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_linked_resolved,3,gui_candidate,304,67,237,304,67,237,304,67,85,85,31,0.08881578947368421,0.03399122807017543,0.08168859649122806,0.045102339181286547,0.06761695906432749,0.06907894736842106
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,5,gui_candidate,255,204,51,255,204,51,255,204,272,272,89,0.2549019607843137,0.06980392156862746,0.24705882352941178,0.09983872336813514,0.19749019607843138,0.1980392156862745
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,5,gui_candidate,151,5,146,151,5,146,151,5,20,20,9,0.019867549668874173,0.011920529801324504,0.01545253863134658,0.011840256873369455,0.011832229580573951,0.012141280353200883
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_with_linked_widget,5,gui_candidate,255,201,54,255,201,54,255,201,259,259,80,0.24313725490196078,0.06274509803921569,0.23790849673202613,0.0928274340039046,0.19048366013071893,0.19084967320261437
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_linked_widgets,5,gui_candidate,559,271,288,559,271,288,559,271,357,357,125,0.16457960644007155,0.044722719141323794,0.1592128801431127,0.06414515716841299,0.1275849731663685,0.12790697674418605
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,combined_actions_and_widgets,5,gui_candidate,609,337,272,609,337,272,609,337,429,429,138,0.16912972085385877,0.04532019704433498,0.16420361247947454,0.06568144499178984,0.13188834154351395,0.13218390804597702
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_all_resolved,5,gui_candidate,354,133,221,354,133,221,354,133,157,157,49,0.10734463276836158,0.027683615819209043,0.10451977401129943,0.04107662582238854,0.08463276836158193,0.0847457627118644
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_functional_resolved,5,gui_candidate,352,128,224,352,128,224,352,128,150,150,45,0.10227272727272728,0.02556818181818182,0.09943181818181818,0.03806326249508068,0.08108901515151515,0.08143939393939394
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,widgets_linked_resolved,5,gui_candidate,304,67,237,304,67,237,304,67,85,85,36,0.08881578947368421,0.02368421052631579,0.08552631578947369,0.03420483025746184,0.06894736842105263,0.06907894736842106
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_all,10,gui_candidate,255,204,51,255,204,51,255,204,272,272,105,0.27058823529411763,0.041176470588235294,0.27058823529411763,0.0661319073083779,0.20334733893557422,0.2002801120448179
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,actions_orphan,10,gui_candidate,151,5,146,151,5,146,151,5,20,20,13,0.019867549668874173,0.008609271523178808,0.019867549668874173,0.011137868753762792,0.013867865026805424,0.012141280353200883
