method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,backward_result_file,total_candidates,widget_candidates,transition_candidates,unknown_candidates,avg_top_requirements,min_top_requirements,max_top_requirements
JSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,JSM Strict,JSM | LLMReq-GPT5-Strict,Results IR New\JSM\jsm_backward_matches_Llmreq_GPT5.json,792,674,118,0,2.272727272727273,1,13
LSI,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,LSI Strict,LSI | Focus-Gemma3-Strict,Results IR New\LSI\lsi_backward_matches_Focus_Gemma3.json,458,360,98,0,3.2751091703056767,1,16
LSI,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,LSI Strict,LSI | Focus-GPT5-Strict,Results IR New\LSI\lsi_backward_matches_Focus_GPT5.json,337,262,75,0,4.367952522255193,1,17
LSI,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,LSI Strict,LSI | LLMReq-Gemma3-Strict,Results IR New\LSI\lsi_backward_matches_Llmreq_Gemma3.json,698,565,133,0,2.5787965616045847,1,15
LSI,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,LSI Strict,LSI | LLMReq-GPT5-Strict,Results IR New\LSI\lsi_backward_matches_Llmreq_GPT5.json,657,650,7,0,2.73972602739726,1,13
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,VSM Strict,VSM | Focus-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Focus_Gemma3.json,427,278,149,0,3.117096018735363,1,16
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,261,170,91,0,4.819923371647509,1,18
VSM,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,VSM Strict,VSM | LLMReq-Gemma3-Strict,Results IR New\VSM\vsm_backward_matches_Llmreq_Gemma3.json,643,471,172,0,2.7433903576982894,1,17
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,VSM Strict,VSM | LLMReq-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Llmreq_GPT5.json,641,532,109,0,2.731669266770671,1,17
Jina v3,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,Jina v3 Relaxed,Jina v3 | Focus-Gemma3-Relaxed,Results Relaxed CE New\Jina\jina_embeddings_v3_matches_relaxed_Focus_Gemma3_backward.json,554,401,153,0,2.707581227436823,1,11
Jina v3,CE,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,Jina v3 Relaxed,Jina v3 | Focus-GPT5-Relaxed,Results Relaxed CE New\Jina\jina_embeddings_v3_matches_relaxed_Focus_GPT5_backward.json,445,345,100,0,3.3707865168539324,1,20
Jina v3,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,Jina v3 Relaxed,Jina v3 | LLMReq-Gemma3-Relaxed,Results Relaxed CE New\Jina\jina_embeddings_v3_matches_relaxed_Llmreq_Gemma3_backward.json,619,477,142,0,2.9079159935379644,1,19
Jina v3,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,Jina v3 Relaxed,Jina v3 | LLMReq-GPT5-Relaxed,Results Relaxed CE New\Jina\jina_embeddings_v3_matches_relaxed_Llmreq_GPT5_backward.json,577,481,96,0,3.119584055459272,1,18
Qwen3 0.6B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,Qwen3 0.6B Relaxed,Qwen3 0.6B | Focus-Gemma3-Relaxed,Results Relaxed CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_relaxed_Focus_Gemma3_backward.json,536,378,158,0,2.798507462686567,1,12
Qwen3 0.6B,CE,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,Qwen3 0.6B Relaxed,Qwen3 0.6B | Focus-GPT5-Relaxed,Results Relaxed CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_relaxed_Focus_GPT5_backward.json,357,255,102,0,4.201680672268908,1,17
Qwen3 0.6B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,Qwen3 0.6B Relaxed,Qwen3 0.6B | LLMReq-Gemma3-Relaxed,Results Relaxed CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_relaxed_Llmreq_Gemma3_backward.json,628,489,139,0,2.8662420382165603,1,14
Qwen3 0.6B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,Qwen3 0.6B Relaxed,Qwen3 0.6B | LLMReq-GPT5-Relaxed,Results Relaxed CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_relaxed_Llmreq_GPT5_backward.json,579,480,99,0,3.1088082901554404,1,14
Qwen3 4B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,Qwen3 4B Relaxed,Qwen3 4B | Focus-Gemma3-Relaxed,Results Relaxed CE New\Qwen4B\qwen3_embedding_4b_matches_relaxed_Focus_Gemma3_backward.json,614,450,164,0,2.44299674267101,1,12
Qwen3 4B,CE,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,Qwen3 4B Relaxed,Qwen3 4B | Focus-GPT5-Relaxed,Results Relaxed CE New\Qwen4B\qwen3_embedding_4b_matches_relaxed_Focus_GPT5_backward.json,495,396,99,0,3.0303030303030303,1,13
Qwen3 4B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,Qwen3 4B Relaxed,Qwen3 4B | LLMReq-Gemma3-Relaxed,Results Relaxed CE New\Qwen4B\qwen3_embedding_4b_matches_relaxed_Llmreq_Gemma3_backward.json,641,478,163,0,2.8081123244929795,1,13
Qwen3 4B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,Qwen3 4B Relaxed,Qwen3 4B | LLMReq-GPT5-Relaxed,Results Relaxed CE New\Qwen4B\qwen3_embedding_4b_matches_relaxed_Llmreq_GPT5_backward.json,627,521,106,0,2.8708133971291865,1,15
Stella 1.5B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,Stella 1.5B Relaxed,Stella 1.5B | Focus-Gemma3-Relaxed,Results Relaxed CE New\Stella\stella_en_1_5b_v5_matches_relaxed_Focus_Gemma3_backward.json,557,401,156,0,2.6929982046678638,1,19
Stella 1.5B,CE,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,Stella 1.5B Relaxed,Stella 1.5B | Focus-GPT5-Relaxed,Results Relaxed CE New\Stella\stella_en_1_5b_v5_matches_relaxed_Focus_GPT5_backward.json,426,323,103,0,3.5211267605633805,1,26
Stella 1.5B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,Stella 1.5B Relaxed,Stella 1.5B | LLMReq-Gemma3-Relaxed,Results Relaxed CE New\Stella\stella_en_1_5b_v5_matches_relaxed_Llmreq_Gemma3_backward.json,639,464,175,0,2.816901408450704,1,18
Stella 1.5B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,Stella 1.5B Relaxed,Stella 1.5B | LLMReq-GPT5-Relaxed,Results Relaxed CE New\Stella\stella_en_1_5b_v5_matches_relaxed_Llmreq_Gpt5_backward.json,575,456,119,0,3.130434782608696,1,16
JSM,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,JSM Relaxed,JSM | Focus-Gemma3-Relaxed,Results Relaxed IR New\JSM\jsm_backward_matches_relaxed_Focus_Gemma3.json,457,312,145,0,3.2822757111597376,1,12
JSM,IR,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,JSM Relaxed,JSM | Focus-GPT5-Relaxed,Results Relaxed IR New\JSM\jsm_backward_matches_relaxed_Focus_GPT5.json,354,268,86,0,4.237288135593221,1,13
JSM,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,JSM Relaxed,JSM | LLMReq-Gemma3-Relaxed,Results Relaxed IR New\JSM\jsm_backward_matches_relaxed_Llmreq_Gemma3.json,808,632,176,0,2.227722772277228,1,14
JSM,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,JSM Relaxed,JSM | LLMReq-GPT5-Relaxed,Results Relaxed IR New\JSM\jsm_backward_matches_relaxed_Llmreq_GPT5.json,826,708,118,0,2.179176755447942,1,12
LSI,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,LSI Relaxed,LSI | Focus-Gemma3-Relaxed,Results Relaxed IR New\LSI\lsi_backward_matches_relaxed_Focus_Gemma3.json,540,476,64,0,2.7777777777777777,1,16
LSI,IR,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,LSI Relaxed,LSI | Focus-GPT5-Relaxed,Results Relaxed IR New\LSI\lsi_backward_matches_relaxed_Focus_GPT5.json,408,348,60,0,3.676470588235294,1,18
LSI,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,LSI Relaxed,LSI | LLMReq-Gemma3-Relaxed,Results Relaxed IR New\LSI\lsi_backward_matches_relaxed_Llmreq_Gemma3.json,790,692,98,0,2.278481012658228,1,11
LSI,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,LSI Relaxed,LSI | LLMReq-GPT5-Relaxed,Results Relaxed IR New\LSI\lsi_backward_matches_relaxed_Llmreq_GPT5.json,692,688,4,0,2.601156069364162,1,12
VSM,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Relaxed,VSM Relaxed,VSM | Focus-Gemma3-Relaxed,Results Relaxed IR New\VSM\vsm_backward_matches_relaxed_Focus_Gemma3.json,467,323,144,0,2.918629550321199,1,16
VSM,IR,Relaxed,Focus,GPT5,Focus-GPT5,Focus-GPT5-Relaxed,VSM Relaxed,VSM | Focus-GPT5-Relaxed,Results Relaxed IR New\VSM\vsm_backward_matches_relaxed_Focus_GPT5.json,370,284,86,0,3.645945945945946,1,15
VSM,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Relaxed,VSM Relaxed,VSM | LLMReq-Gemma3-Relaxed,Results Relaxed IR New\VSM\vsm_backward_matches_relaxed_Llmreq_Gemma3.json,721,556,165,0,2.482662968099861,1,15
VSM,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Relaxed,VSM Relaxed,VSM | LLMReq-GPT5-Relaxed,Results Relaxed IR New\VSM\vsm_backward_matches_relaxed_Llmreq_GPT5.json,676,578,98,0,2.662721893491124,1,17
